0000, 2131
06e9, 2d2b
06ea, 797b
06eb, 134d
06ec, 7803
06ed, dc35
06ee, e97e
06ef, 9705
06f0, 4eaa
06f1, c751
06f2, 1ca8
06f3, c157
06f4, f164
06f5, 4c36
06f6, def8
06f7, dcda
06f8, f497
06f9, 2e3a
06fa, a801
06fb, 2c38
06fc, a809
06fd, 1e36
06fe, 3469
06ff, 3767
0700, 6d79
0701, 5598
0702, e419
0703, 7d09
0704, ef31
0705, 8ac9
0706, 5f21
0707, ec71
0708, baa9
0709, e121
070a, 5f38
070b, 5571
070c, 6d9a
070d, 9ee9
070e, e591
070f, 8afa
0710, 67a2
0711, 7912
0712, ad4e
0713, b1d3
0714, dbdd
0715, c5c2
0716, 1c1c
0717, 8620
0718, a030
0719, 4e23
071a, 2cf2
071b, 09cc
071c, 97fc
071d, 883e
071e, ef4d
071f, f5ac
0720, fdce
0721, 1efe
0722, 8f4e
0723, a3a3
0724, e83d
0725, 6ac2
0726, 74cc
0727, 4cc0
0728, 56d3
0729, e120
072a, 74f2
072b, 1ec0
072c, fdf0
072d, 351e
072e, 42fd
072f, 6afc
0730, 3a29
0731, d418
0732, 2e89
0733, d7c7
0734, 4056
0735, fdb9
0736, 1eba
0737, 4ada
0738, dbb7
0739, 2d6a
073a, de88
073b, d42a
073c, 3a11
073d, 4449
073e, 49f6
073f, 3d81
0740, 3b62
0741, 1295
0742, aae9
0743, dc05
0744, a666
0745, afb9
0746, cae4
0747, 3b6d
0748, a99a
0749, 3fb7
074a, fa9f
074b, c20b
074c, 4b5c
074d, 3292
074e, 4e50
074f, 3f6a
0750, 3dc9
0751, c017
0752, 69e7
0753, cdc9
0754, 8f81
0755, 8ab7
0756, 5f71
0757, 3324
0758, 5a79
0759, 66b4
075a, 09e9
075b, c521
075c, f344
075d, f047
075e, 3511
075f, 8684
0760, 8b6e
0761, b08e
0762, d18e
0763, 5bbe
0764, a1b0
0765, afbe
0766, d180
0767, 8b60
0768, df5d
0769, 4f63
076a, 415e
076b, 50b0
076c, eb50
076d, e083
076e, 805d
076f, 3f60
0770, f7ae
0771, a83e
0772, 7c1e
0773, dac5
0774, bb2d
0775, 05ce
0776, 0d4b
0777, 262c
0778, b21b
0779, 9e22
077a, 8d4e
077b, c8db
077c, 37fb
077d, 2913
077e, 4f40
077f, 85cb
0780, 8767
0781, 0499
0782, c317
0783, 5709
0784, ad21
0785, a527
0786, ad11
0787, 6164
0788, a514
0789, f029
078a, f319
078b, 5801
078c, 8154
078d, 6497
078e, 8851
078f, 3024
0790, 6d2e
0791, 551e
0792, 241e
0793, 7bc2
0794, 484d
0795, face
0796, cf2b
0797, ec2b
0798, d7c2
0799, 212b
079a, af4e
079b, 552b
079c, 6d1b
079d, 9e4e
079e, e21d
079f, 3a1b
07a0, 87a9
07a1, b838
07a2, bce9
07a3, 57c9
07a4, bd61
07a5, 5579
07a6, 5d81
07a7, e626
07a8, b594
07a9, eeb7
07aa, 8d58
07ab, 58d1
07ac, e7fa
07ad, e91f
07ae, 8841
07af, 850a
07b0, 8ba7
07b1, 051f
07b2, 0682
07b3, 5bd7
07b4, b1b0
07b5, 5f7e
07b6, b1e0
07b7, 6d2a
07b8, 5f8d
07b9, 98b5
07ba, 97e5
07bb, 50c6
07bc, 6cf4
07bd, 6e39
07be, 8046
07bf, 697b
07c0, fb69
07c1, a088
07c2, 1149
07c3, ddb8
07c4, d6d6
07c5, cf29
07c6, 114a
07c7, fb6a
07c8, d841
07c9, 2fdf
07ca, 4148
07cb, c0ba
07cc, 3b51
07cd, 208f
07ce, 3e56
07cf, 3f21
07d0, 3a7e
07d1, d49e
07d2, ee8e
07d3, da0e
07d4, 8e80
07d5, 8dbe
07d6, beb0
07d7, 4a00
07d8, bd6e
07d9, ed60
07da, be5e
07db, d470
07dc, 3a90
07dd, 44ee
07de, 34e0
07df, 8d50
07e0, 6abe
07e1, 78e3
07e2, 6049
07e3, 5a7e
07e4, ee46
07e5, 8dc7
07e6, bec6
07e7, e7bc
07e8, 5d27
07e9, 9b2a
07ea, 721f
07eb, 74b0
07ec, 66ed
07ed, 8982
07ee, e4e0
07ef, 6314
07f0, fab9
07f1, cf98
07f2, 35e2
07f3, c60f
07f4, 3050
07f5, 3db2
07f6, c57b
07f7, 3a71
07f8, a305
07f9, 3dbd
07fa, c595
07fb, cf71
07fc, fa5a
07fd, ffe9
07fe, 3996
07ff, 3d5c
0800, ae14
0801, 29b8
0802, ec30
0803, 5e09
0804, 5e01
0805, ac27
0806, 3e11
0807, 9c33
0808, 8c67
0809, bef3
080a, 4676
080b, cc21
080c, d6ef
080d, eeac
080e, 0c51
080f, 4988
0810, 2561
0811, 7350
0812, 8c44
0813, b422
0814, 54dc
0815, fc81
0816, c557
0817, 8c4f
0818, ea25
0819, 5539
081a, 0260
081b, fc88
081c, 72be
081d, e5d4
081e, ba3c
081f, 93b3
0820, f421
0821, c750
0822, 618b
0823, d525
0824, cedc
0825, 3111
0826, aff7
0827, 8a52
0828, 2d25
0829, 0f52
082a, a800
082b, fa37
082c, 19b3
082d, 84bb
082e, ac3c
082f, 4673
0830, cc4e
0831, 6f0e
0832, 4103
0833, 18a8
0834, 19c4
0835, 3e1e
0836, 3dad
0837, 1a8d
0838, 27af
0839, df7d
083a, 6a0b
083b, f5de
083c, 01ee
083d, 1463
083e, 1611
083f, 64e2
0840, 4fab
0841, 7741
0842, 6181
0843, 1ebe
0844, d5bc
0845, 311b
0846, c44e
0847, ea59
0848, 2db3
0849, 5489
084a, 7926
084b, 2a3e
084c, b8c9
084d, 9f61
084e, dc8b
084f, e6cf
0850, 5e79
0851, 0b1d
0852, f777
0853, cec9
0854, ae21
0855, 8cb7
0856, 5e71
0857, a784
0858, 3cc9
0859, c8b4
085a, 02cb
085b, 0c81
085c, 0222
085d, c8b7
085e, ac11
085f, 8b22
0860, 7531
0861, 99d3
0862, 2c56
0863, 05be
0864, 05b0
0865, 0c27
0866, 6531
0867, 2c57
0868, 6c6e
0869, 1587
086a, 67d0
086b, 0c26
086c, 774e
086d, f566
086e, 7c80
086f, 9943
0870, dd92
0871, 9f07
0872, e1af
0873, c9d5
0874, 18a0
0875, 3ee2
0876, fcbd
0877, 0a36
0878, 27d5
0879, 74d6
087a, 6171
087b, 256e
087c, 7a59
087d, 5faf
087e, c6f0
087f, 6489
0880, bfa9
0881, 16fd
0882, fbbe
0883, 7f09
0884, 5471
0885, 81c9
0886, 0421
0887, d35b
0888, 6179
0889, a2bb
088a, c8cd
088b, 7a31
088c, 19d2
088d, 106e
088e, ba91
088f, f722
0890, a1e9
0891, fec7
0892, ec68
0893, 72d5
0894, 72ac
0895, 3487
0896, 3171
0897, 7c56
0898, ebd5
0899, be06
089a, fcc4
089b, f4b7
089c, cc49
089d, be0f
089e, 7bf0
089f, 3e49
08a0, bf94
08a1, 22be
08a2, 41fc
08a3, 5fc9
08a4, 04d1
08a5, 5179
08a6, 6481
08a7, fa33
08a8, 81a9
08a9, 1433
08aa, 23b0
08ab, 7a61
08ac, dbe2
08ad, 3fac
08ae, 0a41
08af, 40e5
08b0, 756e
08b1, cbe6
08b2, 8722
08b3, b5a7
08b4, 55a1
08b5, 6cbe
08b6, 056d
08b7, 574c
08b8, 8cc7
08b9, 59db
08ba, c001
08bb, 0c80
08bc, 1007
08bd, b9d2
08be, 5c16
08bf, fb77
08c0, 7a3e
08c1, 6ec8
08c2, 9c63
08c3, c008
08c4, 1071
08c5, 644e
08c6, 6add
08c7, 7c5d
08c8, 2b08
08c9, 75bd
08ca, 6da1
08cb, 6423
08cc, 7df7
08cd, 0563
08ce, 1b91
08cf, 6e17
08d0, 048d
08d1, f2d3
08d2, 41f6
08d3, c46e
08d4, af70
08d5, 517e
08d6, 8f9d
08d7, 2a47
08d8, 310e
08d9, df17
08da, 3ba0
08db, 0a6d
08dc, 1343
08dd, 24d6
08de, ca80
08df, 4013
08e0, c4be
08e1, c6f1
08e2, fb22
08e3, 547e
08e4, 5f6d
08e5, 317e
08e6, af0d
08e7, a33b
08e8, 81be
08e9, c0db
08ea, c9a4
08eb, ca5d
08ec, c8c7
08ed, a222
08ee, 5a9d
08ef, f7c9
08f0, 8ecb
08f1, 7386
08f2, fc11
08f3, 1fb8
08f4, 1fba
08f5, 8c4d
08f6, 5e1e
08f7, 3c49
08f8, 2a78
08f9, ce49
08fa, b076
08fb, 6c4e
08fc, b07f
08fd, fe21
08fe, da8a
08ff, e3b8
0900, cf75
0901, e571
0902, 3495
0903, cf9b
0904, 5d67
0905, 3a75
0906, 8db8
0907, 5c98
0908, aa02
0909, 8e58
090a, ed81
090b, 5578
090c, 2f7b
090d, c195
090e, 5591
090f, 4aeb
0910, 1c8c
0911, 69dc
0912, fd7c
0913, 1b0b
0914, 71a5
0915, c5bc
0916, 67d2
0917, 0612
0918, 20eb
0919, 68f2
091a, 973c
091b, 0922
091c, 2c52
091d, 2e75
091e, 0ffc
091f, 1582
0920, ca8a
0921, 22dc
0922, 3a7a
0923, 1674
0924, dca5
0925, afba
0926, 3bd2
0927, cbf2
0928, 49e4
0929, 32f2
092a, 4b3c
092b, c2d2
092c, 2a89
092d, ff7f
092e, 1efc
092f, df89
0930, 0d40
0931, f8a4
0932, 6ca0
0933, 0bac
0934, dacf
0935, 05c0
0936, f7a7
0937, 1648
0938, 82fc
0939, 2918
093a, 37f4
093b, c8d7
093c, 6d15
093d, 6ed3
093e, 1f1a
093f, 5515
0940, 7425
0941, 2e0d
0942, 6f15
0943, 78fb
0944, d37e
0945, 6a25
0946, fd73
0947, dce3
0948, 76c2
0949, 35e3
094a, 2ded
094b, 1e73
094c, 94db
094d, 7115
094e, d29d
094f, 9a4b
0950, 5f75
0951, f0c6
0952, 69e3
0953, 0fec
0954, ad28
0955, 8ab3
0956, 3dc8
0957, a34f
0958, 5a75
0959, f04f
095a, f31a
095b, c528
095c, 69bc
095d, 0683
095e, a516
095f, 868c
0960, 711a
0961, 600c
0962, 61aa
0963, 01ca
0964, 0b72
0965, 0fca
0966, 6b02
0967, 7be2
0968, 6ff4
0969, 90e5
096a, 9b9c
096b, 0072
096c, 91f9
096d, 9faf
096e, 709b
096f, 7f19
0970, 1eb8
0971, 44c0
0972, fe58
0973, 109a
0974, a7a3
0975, fdb8
0976, 3a25
0977, da35
0978, cb0f
0979, 3435
097a, 3a10
097b, d425
097c, 2e7a
097d, 1d58
097e, d9f0
097f, fdea
0980, becf
0981, 9876
0982, 6048
0983, 7e1a
0984, 5a78
0985, 8dcf
0986, 6ab8
0987, b78f
0988, 0dcf
0989, 898f
098a, 66e6
098b, 74b8
098c, 922a
098d, 7b48
098e, b4e6
098f, 634a
0990, cf28
0991, 85c0
0992, f4f8
0993, c8fa
0994, 5bd3
0995, fac8
0996, 6d25
0997, 5c35
0998, a7af
0999, 6e35
099a, 8d40
099b, 5525
099c, ffca
099d, c138
099e, 52f0
099f, 3a1a
09a0, 7e75
09a1, e4a1
09a2, 6e95
09a3, 0eec
09a4, 5aa7
09a5, 6d75
09a6, 8ac8
09a7, baf8
09a8, 0d02
09a9, 84f8
09aa, ea11
09ab, b4c8
09ac, 9e0b
09ad, 7d95
09ae, 5416
09af, 9deb
09b0, b1ea
09b1, 6524
09b2, 66b6
09b3, 717a
09b4, 0ba9
09b5, 5f7a
09b6, 8ba9
09b7, 0d47
09b8, 6fea
09b9, 6e37
09ba, 6c34
09bb, 50c9
09bc, 978f
09bd, 98b8
09be, 0014
09bf, 098f
09c0, 1140
09c1, f074
09c2, f1d0
09c3, 16ac
09c4, 1d7f
09c5, cf20
09c6, fb67
09c7, 1b87
09c8, f8fc
09c9, 2088
09ca, fb94
09cb, c0b7
09cc, 2115
09cd, 2fd3
09ce, 1ee4
09cf, cf15
09d0, 0dea
09d1, 280c
09d2, 8c0a
09d3, 0d04
09d4, a772
09d5, 557a
09d6, 3702
09d7, 16e5
09d8, 8594
09d9, 49e5
09da, 479c
09db, c802
09dc, 9de9
09dd, 6e0f
09de, c8eb
09df, b5e9
09e0, ad1a
09e1, 646b
09e2, f3c6
09e3, cdca
09e4, 5702
09e5, a526
09e6, 876e
09e7, 015e
09e8, 351a
09e9, 649e
09ea, 815b
09eb, 5802
09ec, f34f
09ed, f028
09ee, 089b
09ef, a04f
09f0, c525
09f1, 2f71
09f2, 3515
09f3, 101b
09f4, d6b7
09f5, 3d25
09f6, fa7f
09f7, aae8
09f8, d3c2
09f9, 3f88
09fa, 2ae4
09fb, cf78
09fc, 252b
09fd, cd15
09fe, d9e1
09ff, 4d4b
0a00, 0e09
0a01, ec98
0a02, e5ef
0a03, 0ee4
0a04, 8e81
0a05, 8c09
0a06, 5e61
0a07, e578
0a08, 5c79
0a09, edb6
0a0a, be58
0a0b, 5c91
0a0c, 9e0a
0a0d, 7def
0a0e, 5c71
0a0f, ec9a
0a10, 0fce
0a11, 91fe
0a12, 84fe
0a13, 59f0
0a14, e91d
0a15, 61ae
0a16, 0fc0
0a17, e4c3
0a18, b7a3
0a19, 8ac0
0a1a, 7f1e
0a1b, 7110
0a1c, 6fa0
0a1d, 5a1e
0a1e, b7ad
0a1f, 91f0
0a20, ceae
0a21, 2d1e
0a22, 3e3e
0a23, d2f0
0a24, 404d
0a25, fca2
0a26, c5cc
0a27, 35c3
0a28, dbd3
0a29, 3d20
0a2a, 1512
0a2b, cd10
0a2c, 2ea0
0a2d, acfe
0a2e, d3cd
0a2f, 2cfc
0a30, a4d9
0a31, 3a18
0a32, 2f4f
0a33, d916
0a34, 3836
0a35, f1d9
0a36, cf2a
0a37, 34df
0a38, d628
0a39, f1da
0a3a, af48
0a3b, aa4a
0a3c, 34a1
0a3d, da4f
0a3e, a7a6
0a3f, 3131
0a40, c5b2
0a41, fd93
0a42, fe92
0a43, c09c
0a44, 4290
0a45, fc62
0a46, ce0d
0a47, 357e
0a48, 1b05
0a49, 3c0d
0a4a, 1e93
0a4b, cded
0a4c, f56c
0a4d, cde2
0a4e, a300
0a4f, 2c5c
0a50, aea9
0a51, fbf7
0a52, f2f7
0a53, cef4
0a54, 3e31
0a55, 3cd7
0a56, aea1
0a57, 32d9
0a58, aca9
0a59, fbd4
0a5a, c2f9
0a5b, cc31
0a5c, f2d4
0a5d, cb37
0a5e, aca1
0a5f, 3b34
0a60, 557e
0a61, ec9e
0a62, e5e3
0a63, b59d
0a64, 859d
0a65, 8c0e
0a66, 5570
0a67, e503
0a68, 5c7e
0a69, 8c00
0a6a, b5ee
0a6b, bce0
0a6c, 8500
0a6d, bcee
0a6e, 5c70
0a6f, ec90
0a70, cf2e
0a71, 3a1e
0a72, 2f43
0a73, 181b
0a74, 4910
0a75, f1de
0a76, a4db
0a77, 4422
0a78, 16c5
0a79, 4a2c
0a7a, a4fe
0a7b, aa4b
0a7c, ffcb
0a7d, 114e
0a7e, d7cd
0a7f, f1fb
0a80, 5f79
0a81, 66e7
0a82, 6857
0a83, 0fe4
0a84, 8491
0a85, 8109
0a86, 0461
0a87, 89b9
0a88, 0109
0a89, 8764
0a8a, 0897
0a8b, 0a81
0a8c, 69b4
0a8d, 0687
0a8e, 5a71
0a8f, 6754
0a90, 0ede
0a91, 8cfe
0a92, 9513
0a93, 701c
0a94, e040
0a95, 6cae
0a96, 0edb
0a97, e525
0a98, b3c5
0a99, 9d2c
0a9a, 5e3e
0a9b, 5c3b
0a9c, 6eab
0a9d, 7d43
0a9e, b3c0
0a9f, 8cfb
0aa0, 0fc9
0aa1, 8af8
0aa2, 9f1f
0aa3, 7ff4
0aa4, 8411
0aa5, 61a9
0aa6, 54a1
0aa7, e4c7
0aa8, 01c9
0aa9, eac6
0aaa, b4f8
0aab, 5a11
0aac, 6faa
0aad, 7119
0aae, baa1
0aaf, 91fa
0ab0, 0527
0ab1, 9b18
0ab2, 8239
0ab3, 5511
0ab4, 8516
0ab5, 6cd7
0ab6, 0526
0ab7, e22f
0ab8, 5ca7
0ab9, 832a
0aba, 0018
0abb, 7c46
0abc, 60c1
0abd, 5349
0abe, bcc6
0abf, 6bf1
0ac0, a5b9
0ac1, 4ce8
0ac2, 458f
0ac3, d2e1
0ac4, 3296
0ac5, 3c69
0ac6, a5ba
0ac7, 456f
0ac8, d378
0ac9, 3c6a
0aca, a5e8
0acb, dc8a
0acc, 3571
0acd, dc89
0ace, d306
0acf, 3c91
0ad0, a40e
0ad1, 4aee
0ad2, 4f83
0ad3, a4ed
0ad4, 3f5d
0ad5, 316e
0ad6, afb0
0ad7, 3403
0ad8, a1be
0ad9, 3160
0ada, df8e
0adb, aae0
0adc, 4400
0add, dae3
0ade, aa0d
0adf, 4150
0ae0, 046e
0ae1, 66e3
0ae2, 6852
0ae3, 549d
0ae4, 8f80
0ae5, 810e
0ae6, 5f70
0ae7, 89b5
0ae8, 516e
0ae9, 66bc
0aea, 09e5
0aeb, 0a80
0aec, 680d
0aed, 5752
0aee, 5a70
0aef, 679b
0af0, c469
0af1, 2198
0af2, 3499
0af3, 189a
0af4, 4856
0af5, 3169
0af6, c404
0af7, 3407
0af8, d70f
0af9, 3161
0afa, 149f
0afb, c191
0afc, 246a
0afd, c199
0afe, d706
0aff, 415a
0b00, 2489
0b01, 2f91
0b02, 8629
0b03, 635a
0b04, 09ff
0b05, 4e82
0b06, 2c7b
0b07, 0071
0b08, 863a
0b09, 09c4
0b0a, 259b
0b0b, 2171
0b0c, 1a69
0b0d, 63b9
0b0e, 0098
0b0f, dd62
0b10, 9375
0b11, 0592
0b12, de2e
0b13, 814d
0b14, 3b43
0b15, 1472
0b16, 1a9c
0b17, 58d0
0b18, 40dd
0b19, dd30
0b1a, f7e5
0b1b, 020c
0b1c, 6ceb
0b1d, e623
0b1e, 5f3e
0b1f, 290b
0b20, 217e
0b21, c8e3
0b22, e12e
0b23, 43fd
0b24, 5843
0b25, 9c72
0b26, 750c
0b27, d5a0
0b28, e63d
0b29, bfd0
0b2a, 02e5
0b2b, 1f00
0b2c, 269d
0b2d, 4cce
0b2e, a213
0b2f, 939b
0b30, 948e
0b31, 9f90
0b32, 3d77
0b33, f611
0b34, 12ef
0b35, ee17
0b36, eda6
0b37, 1426
0b38, f3e4
0b39, de76
0b3a, 95fa
0b3b, 9a60
0b3c, 717e
0b3d, fa27
0b3e, 1818
0b3f, 7cc9
0b40, e62f
0b41, 0419
0b42, d479
0b43, 3ceb
0b44, 4657
0b45, beb9
0b46, 7ce4
0b47, d0b0
0b48, 4904
0b49, d181
0b4a, 9399
0b4b, 79ca
0b4c, 8144
0b4d, 4375
0b4e, ae8e
0b4f, e064
0b50, ebc2
0b51, 7e1e
0b52, 9777
0b53, 2b14
0b54, b887
0b55, 472e
0b56, d8cd
0b57, d224
0b58, e7e4
0b59, 78b4
0b5a, 1412
0b5b, 722d
0b5c, 9c4b
0b5d, 2b27
0b5e, d217
0b5f, 414b
0b60, 9915
0b61, 69fb
0b62, c972
0b63, 9c9c
0b64, 2792
0b65, 1c12
0b66, 25a5
0b67, 057c
0b68, f90c
0b69, 17ec
0b6a, cccc
0b6b, 67ac
0b6c, 07c2
0b6d, 6c02
0b6e, 75e2
0b6f, 15fb
0b70, e988
0b71, 99ea
0b72, 552e
0b73, 313b
0b74, 6312
0b75, dc47
0b76, 4ec7
0b77, a8ad
0b78, 802b
0b79, 5d1d
0b7a, 1cc4
0b7b, e676
0b7c, b6bf
0b7d, 37de
0b7e, c4f2
0b7f, de44
0b80, 4a23
0b81, 1915
0b82, 12c7
0b83, eaea
0b84, 4b47
0b85, b22e
0b86, bb1d
0b87, 7fba
0b88, 42c4
0b89, 1b44
0b8a, 9c12
0b8b, dfc0
0b8c, 464c
0b8d, 9a78
0b8e, bf88
0b8f, ee2b
0b90, 4e19
0b91, 2e11
0b92, 3a2e
0b93, 634b
0b94, c912
0b95, e487
0b96, e171
0b97, 052d
0b98, 364b
0b99, afcd
0b9a, 94e4
0b9b, 2c21
0b9c, 1c29
0b9d, 8dc2
0b9e, 001e
0b9f, b1b9
0ba0, 4085
0ba1, f2eb
0ba2, 50b9
0ba3, e13a
0ba4, 639f
0ba5, d189
0ba6, 2479
0ba7, 04a4
0ba8, 806a
0ba9, 03e4
0baa, 1a04
0bab, 237c
0bac, abb2
0bad, 81d9
0bae, 74ff
0baf, df54
0bb0, 4d78
0bb1, c29f
0bb2, 78b2
0bb3, ed46
0bb4, e653
0bb5, d8c7
0bb6, d6f6
0bb7, 0eda
0bb8, e8bd
0bb9, 765c
0bba, 2aff
0bbb, ae06
0bbc, 23ea
0bbd, 9d2f
0bbe, 5e38
0bbf, 24c4
0bc0, e018
0bc1, 62fa
0bc2, afc7
0bc3, fc94
0bc4, 271f
0bc5, b1ee
0bc6, ef03
0bc7, a076
0bc8, f9c4
0bc9, d116
0bca, 7a0c
0bcb, 8ba6
0bcc, 73cf
0bcd, 3b07
0bce, c5ef
0bcf, 74eb
0bd0, 2e1e
0bd1, fe10
0bd2, 6372
0bd3, f690
0bd4, 7292
0bd5, 9412
0bd6, 9aac
0bd7, 1870
0bd8, 639c
0bd9, 727c
0bda, 641c
0bdb, 2da0
0bdc, 1dae
0bdd, f67e
0bde, 189e
0bdf, 7aa2
0be0, 2727
0be1, 1ff8
0be2, 9b29
0be3, e7ed
0be4, b038
0be5, 4b77
0be6, d006
0be7, b96c
0be8, eb41
0be9, 70da
0bea, 159f
0beb, 19d6
0bec, 2111
0bed, e7b2
0bee, b993
0bef, 2ce4
0bf0, 9cb9
0bf1, 7097
0bf2, 4c72
0bf3, 2694
0bf4, d05e
0bf5, e129
0bf6, 74c4
0bf7, d471
0bf8, 439b
0bf9, debd
0bfa, 79f9
0bfb, 7e71
0bfc, 9354
0bfd, 2179
0bfe, d997
0bff, e634
0c00, 2175
0c01, ec91
0c02, e595
0c03, c175
0c04, 5128
0c05, ec75
0c06, e128
0c07, e598
0c08, 5c75
0c09, ef38
0c0a, e131
0c0b, ec78
0c0c, 219b
0c0d, 2f95
0c0e, 5c78
0c0f, ec9b
0c10, a0bc
0c11, e13c
0c12, 447f
0c13, 45eb
0c14, a5fc
0c15, d18a
0c16, a022
0c17, 84f2
0c18, d704
0c19, a312
0c1a, 30dc
0c1b, 81d2
0c1c, d082
0c1d, 337c
0c1e, b7a5
0c1f, 4159
0c20, 14ba
0c21, f33c
0c22, 4c7c
0c23, 2894
0c24, 5aa5
0c25, debc
0c26, 8622
0c27, f012
0c28, 429b
0c29, 8912
0c2a, 863c
0c2b, f322
0c2c, 1459
0c2d, 217a
0c2e, cda5
0c2f, de52
0c30, 7e20
0c31, f614
0c32, 2aa0
0c33, 90fc
0c34, dc79
0c35, 14c0
0c36, f377
0c37, 2847
0c38, 49fc
0c39, 22e7
0c3a, 33e4
0c3b, f627
0c3c, 7e15
0c3d, 9dd0
0c3e, 11c9
0c3f, d415
0c40, 8625
0c41, 23eb
0c42, dc15
0c43, bac2
0c44, d851
0c45, de25
0c46, 147f
0c47, 3083
0c48, d2fb
0c49, d188
0c4a, 2404
0c4b, f375
0c4c, e64b
0c4d, 8915
0c4e, ddbe
0c4f, 4edb
0c50, e175
0c51, 2b16
0c52, 9218
0c53, 7175
0c54, b1b8
0c55, ec28
0c56, e178
0c57, 424f
0c58, bccf
0c59, 988f
0c5a, 97ea
0c5b, 2c28
0c5c, 978c
0c5d, 9883
0c5e, dcc8
0c5f, eb4a
0c60, 59ca
0c61, ec9c
0c62, e50f
0c63, 89f4
0c64, d99b
0c65, bcea
0c66, a972
0c67, e5e5
0c68, 5c7a
0c69, d7e2
0c6a, 390c
0c6b, 8c02
0c6c, b919
0c6d, 87aa
0c6e, 5c72
0c6f, ec99
0c70, f378
0c71, 3640
0c72, 1af8
0c73, ac0f
0c74, b030
0c75, 14c8
0c76, 7e25
0c77, f835
0c78, d9fa
0c79, 7d35
0c7a, ee20
0c7b, f625
0c7c, 33ea
0c7d, f298
0c7e, a1d3
0c7f, 44ca
0c80, 8328
0c81, 6aea
0c82, 77e3
0c83, 53cf
0c84, de46
0c85, b4b3
0c86, dec8
0c87, 6f8f
0c88, b4ec
0c89, 1b4f
0c8a, 22ca
0c8b, 8678
0c8c, 8d4a
0c8d, 6518
0c8e, 56b8
0c8f, e8bc
0c90, 2128
0c91, ec10
0c92, 2598
0c93, 16af
0c94, d6d3
0c95, 2c78
0c96, 2125
0c97, e535
0c98, d30f
0c99, 2f35
0c9a, 4140
0c9b, ec25
0c9c, 211a
0c9d, 2f38
0c9e, b3a3
0c9f, 4cea
0ca0, 8375
0ca1, e641
0ca2, da95
0ca3, 5302
0ca4, 5e86
0ca5, d475
0ca6, beb8
0ca7, 8838
0ca8, a4ec
0ca9, bd58
0caa, ee61
0cab, 8628
0cac, e3eb
0cad, 8295
0cae, 56d7
0caf, 440b
0cb0, 59b6
0cb1, 8b34
0cb2, 22c8
0cb3, 89ea
0cb4, 59eb
0cb5, dc46
0cb6, 59be
0cb7, 62f7
0cb8, dcca
0cb9, 0aee
0cba, 8fbb
0cbb, 8cd7
0cbc, 5f8f
0cbd, 6a76
0cbe, 5ca9
0cbf, 4b4f
0cc0, c9c0
0cc1, 3c94
0cc2, 95a3
0cc3, 34fc
0cc4, d414
0cc5, 7c10
0cc6, c9c7
0cc7, 25e8
0cc8, b3ac
0cc9, 1717
0cca, 39c4
0ccb, fc07
0ccc, a915
0ccd, f7a0
0cce, d37f
0ccf, ec15
0cd0, 7e7a
0cd1, f69c
0cd2, eaaa
0cd3, 6eea
0cd4, b302
0cd5, b4ca
0cd6, 8372
0cd7, 28e2
0cd8, 841a
0cd9, e2e2
0cda, 839c
0cdb, f672
0cdc, 7e99
0cdd, 9d0a
0cde, 1602
0cdf, b4f9
0ce0, deca
0ce1, 6a8b
0ce2, 9776
0ce3, 2e1a
0ce4, 53c9
0ce5, b4b6
0ce6, 8327
0ce7, 6f8e
0ce8, e4ea
0ce9, 6517
0cea, 8d44
0ceb, 8672
0cec, 124f
0ced, 2b26
0cee, 0672
0cef, b88f
0cf0, 2c25
0cf1, 2191
0cf2, e415
0cf3, 1ba2
0cf4, db6e
0cf5, e125
0cf6, 2c75
0cf7, 44e8
0cf8, b7a2
0cf9, 4e83
0cfa, 2c9b
0cfb, 2178
0cfc, 2c3b
0cfd, 2e15
0cfe, d707
0cff, e13b
0d00, 6d30
0d01, 55b4
0d02, 1aae
0d03, 9e87
0d04, 9124
0d05, faf0
0d06, cf35
0d07, e53b
0d08, 9417
0d09, 2f3b
0d0a, 0f24
0d0b, 5535
0d0c, 6db7
0d0d, 7dde
0d0e, ecb4
0d0f, 6ac7
0d10, ebf6
0d11, 5fc0
0d12, 0f5c
0d13, 6832
0d14, 2e25
0d15, 8f00
0d16, e19e
0d17, 9044
0d18, cd42
0d19, 716b
0d1a, db10
0d1b, b017
0d1c, 81ae
0d1d, 7bdf
0d1e, 662c
0d1f, a0ce
0d20, 6a50
0d21, 1220
0d22, 0ddf
0d23, 3542
0d24, 912c
0d25, 8df6
0d26, bef7
0d27, e45b
0d28, 6f42
0d29, 9e34
0d2a, b8c0
0d2b, 745e
0d2c, f32e
0d2d, 5a65
0d2e, 4c2c
0d2f, 86ce
0d30, 3a65
0d31, d4a1
0d32, 9052
0d33, 49f7
0d34, 3bb6
0d35, 6d65
0d36, 7e6b
0d37, 37bc
0d38, 4057
0d39, 6bbc
0d3a, de61
0d3b, d46b
0d3c, 3aa8
0d3d, 4952
0d3e, 37c6
0d3f, 3d68
0d40, e756
0d41, ae0d
0d42, c5f6
0d43, f29e
0d44, ffb9
0d45, 35d6
0d46, 3df8
0d47, 985a
0d48, cae7
0d49, cdda
0d4a, a6e1
0d4b, b898
0d4c, 3c6e
0d4d, 7708
0d4e, fb6b
0d4f, a9b7
0d50, 360f
0d51, c0a6
0d52, f593
0d53, f0ff
0d54, 8666
0d55, 3363
0d56, a000
0d57, 3a6a
