0000, 8ee8
06f2, 2a6d
06f3, a70d
06f4, 4d69
06f5, c0aa
06f6, 92a9
06f7, b606
06f8, 1d6f
06f9, cd66
06fa, f76f
06fb, 8009
06fc, 6cd0
06fd, 9763
06fe, 62aa
06ff, 40a3
0700, 8454
0701, 1494
0702, 1d73
0703, 1198
0704, 1029
0705, 46cf
0706, e8f1
0707, 80b9
0708, 1a25
0709, 1a75
070a, 1e3e
070b, e6cf
070c, 8e5e
070d, 1138
070e, 48f1
070f, 8db3
0710, 2464
0711, 8483
0712, 5db3
0713, 703f
0714, e089
0715, d436
0716, f1b7
0717, f029
0718, d6d2
0719, 0e3a
071a, 7e6e
071b, aa67
071c, 1e49
071d, 3822
071e, 2d35
071f, 4d83
0720, be04
0721, 8e15
0722, 8b25
0723, 2d3f
0724, ec3e
0725, 2556
0726, 38bc
0727, ecb9
0728, 6222
0729, cf3a
072a, b4de
072b, a7bc
072c, 8489
072d, 51c2
072e, 2095
072f, 8b54
0730, 2268
0731, 703d
0732, 9e3d
0733, 5483
0734, dbd2
0735, 3836
0736, 1fb2
0737, fa28
0738, 7985
0739, 5db4
073a, 4522
073b, ac62
073c, f145
073d, 7768
073e, 2636
073f, 2385
0740, bc9b
0741, bc3b
0742, e4fb
0743, ef11
0744, 8628
0745, 489c
0746, 158e
0747, e674
0748, 1132
0749, 8dc1
074a, 8918
074b, 10b8
074c, 8984
074d, c23c
074e, c79c
074f, 845b
0750, 81a2
0751, 1559
0752, 1065
0753, 8359
0754, c76c
0755, 86d5
0756, 81a7
0757, 1daf
0758, 7762
0759, ea69
075a, 486c
075b, 72a7
075c, 4fff
075d, e86c
075e, 89f5
075f, b2d2
0760, b8d2
0761, d2e7
0762, 3397
0763, 2de1
0764, d43b
0765, 8670
0766, 5353
0767, 4baf
0768, 353b
0769, d49c
076a, 2d48
076b, 8263
076c, 35ff
076d, db4b
076e, b807
076f, 862d
0770, 8cfb
0771, bce6
0772, 8486
0773, d7e5
0774, 8684
0775, 4ddd
0776, 5fad
0777, 86d8
0778, d884
0779, d886
077a, b974
077b, 6ddd
077c, 89f8
077d, d774
077e, 2fad
077f, 84d8
0780, 2798
0781, 9111
0782, 52c1
0783, 7238
0784, c13c
0785, b89c
0786, 548e
0787, f774
0788, 5b28
0789, 71fb
078a, 2231
078b, 9cbe
078c, f884
078d, 5e18
078e, 7791
078f, 285b
0790, 2704
0791, cd3a
0792, 1f3d
0793, 5e15
0794, bd22
0795, 8356
0796, e5bc
0797, f7b5
0798, 7138
0799, 5b25
079a, 8fc2
079b, 70b2
079c, f889
079d, 72de
079e, ba96
079f, 2854
07a0, 2b3b
07a1, 7b9b
07a2, e5e6
07a3, 4511
07a4, 5264
07a5, 43e0
07a6, 1f48
07a7, f204
07a8, e94d
07a9, 3ba1
07aa, 8384
07ab, fcd8
07ac, 13e4
07ad, 7732
07ae, 2297
07af, 4546
07b0, 21a2
07b1, a7ec
07b2, 38ec
07b3, 70e1
07b4, 258b
07b5, 82a7
07b6, 59f5
07b7, 5daf
07b8, 548b
07b9, b5ec
07ba, 20e8
07bb, 56d5
07bc, 9fff
07bd, 6ceb
07be, 71a7
07bf, 42d2
07c0, 8b5b
07c1, 2b46
07c2, 3546
07c3, d245
07c4, 3254
07c5, 5bdd
07c6, 35dd
07c7, 82b4
07c8, d358
07c9, d34b
07ca, 23b4
07cb, 2bdd
07cc, 8354
07cd, d2b8
07ce, b5dd
07cf, 85b5
07d0, 2238
07d1, 3811
07d2, 36a1
07d3, 7798
07d4, 794a
07d5, 23ea
07d6, fe4e
07d7, fa08
07d8, 5d64
07d9, 79e6
07da, 7731
07db, f0de
07dc, f1e8
07dd, 5484
07de, 2291
07df, 2346
07e0, 48d2
07e1, 1f35
07e2, fcd5
07e3, 1939
07e4, cab0
07e5, 5263
07e6, e807
07e7, 9baf
07e8, cabd
07e9, f7d9
07ea, 1167
07eb, 7670
07ec, e5ff
07ed, 1162
07ee, 8353
07ef, 262d
07f0, 8ef8
07f1, 8e54
07f2, eb04
07f3, 1854
07f4, ec6e
07f5, 82a1
07f6, 41f1
07f7, 8cde
07f8, 1768
07f9, 1704
07fa, 845e
07fb, 12a1
07fc, 84f8
07fd, 185e
07fe, e1f1
07ff, 8bd8
0800, 3485
0801, 9876
0802, 067b
0803, ac75
0804, ff87
0805, dd77
0806, 0be0
0807, 698e
0808, 90b8
0809, afe8
080a, ac80
080b, 95e7
080c, 67b9
080d, 9e85
080e, 3470
080f, 3db8
0810, 6b1f
0811, 35a0
0812, 2ba0
0813, e012
0814, 90c2
0815, 5bf1
0816, c0fb
0817, cef5
0818, 4bce
0819, 9ea4
081a, 0ecd
081b, 1e1b
081c, a0a5
081d, 45fe
081e, b5c1
081f, 651c
0820, ac1f
0821, 9f00
0822, 6d00
0823, 1d42
0824, fccd
0825, 4d11
0826, 7d5b
0827, 0f95
0828, 8d0e
0829, 1fc4
082a, a42d
082b, ef9b
082c, 0d65
082d, ef9e
082e, cfc1
082f, d41a
0830, 91e3
0831, 4f27
0832, dcd7
0833, 7c04
0834, 919d
0835, 0c02
0836, 2a30
0837, 2f49
0838, 3a2e
0839, 7fe3
083a, 7a9d
083b, 3130
083c, 2cde
083d, 3149
083e, ef72
083f, 9a74
0840, 544f
0841, 587d
0842, 67ba
0843, 7dd3
0844, ef3a
0845, 0ccd
0846, b09a
0847, b95f
0848, 9b7f
0849, 7ff3
084a, bd3a
084b, e59a
084c, b603
084d, 5eef
084e, 942d
084f, 9c2f
0850, 91e9
0851, 4f22
0852, cdc2
0853, 7db8
0854, 91e6
0855, bd77
0856, d21d
0857, 2f41
0858, f2c3
0859, 7fe8
085a, 0286
085b, 314a
085c, 2dc4
085d, 3143
085e, ef77
085f, 5279
0860, ac8f
0861, 19a2
0862, c7c2
0863, 1a9d
0864, fc6a
0865, fae4
0866, c74a
0867, a913
0868, 1721
0869, f103
086a, cf6a
086b, f94a
086c, c7c3
086d, 1931
086e, a173
086f, af8c
0870, ab85
0871, 95d6
0872, 00a6
0873, 1b5b
0874, 1006
0875, 10e8
0876, 7b46
0877, 0e18
0878, e0a8
0879, 1e08
087a, c566
087b, ee16
087c, 0b28
087d, e538
087e, c5b8
087f, aee6
0880, 6c15
0881, 190c
0882, 260c
0883, 9246
0884, 9c20
0885, 5219
0886, 265c
0887, c994
0888, 4664
0889, 91c5
088a, 6420
088b, 195c
088c, c664
088d, 4994
088e, 01c9
088f, 6446
0890, 9845
0891, 457b
0892, 20b7
0893, 7bd8
0894, e9f6
0895, 70cb
0896, 2696
0897, 2e5e
0898, 37b9
0899, 7ef8
089a, 7636
089b, 4950
089c, 2b08
089d, 38e5
089e, e52b
089f, 97c5
08a0, fe4f
08a1, 31ba
08a2, dabc
08a3, c0a3
08a4, fe3a
08a5, a0c2
08a6, cd9a
08a7, d15f
08a8, fd71
08a9, aef3
08aa, c03a
08ab, f49a
08ac, 2a6f
08ad, f4ef
08ae, fecd
08af, f021
08b0, 6b8f
08b1, e3d2
08b2, 7aa2
08b3, e65d
08b4, e06a
08b5, 97e3
08b6, b24a
08b7, 7113
08b8, ead1
08b9, e903
08ba, b56a
08bb, e14a
08bc, 7223
08bd, 8331
08be, 08b3
08bf, 0e8a
08c0, ac15
08c1, 9f0d
08c2, 7c0d
08c3, 1cfb
08c4, fca6
08c5, fcf8
08c6, 7ced
08c7, 0f94
08c8, ec74
08c9, 1fc5
08ca, cfa6
08cb, 9fed
08cc, 0c74
08cd, ef94
08ce, cfc8
08cf, af1b
08d0, 6b85
08d1, 4307
08d2, 2277
08d3, 97e6
08d4, 90b7
08d5, 56ee
08d6, ca57
08d7, c1e8
08d8, 42b8
08d9, 9978
08da, 0eb0
08db, 1187
08dc, ca08
08dd, 4358
08de, 6879
08df, 658b
08e0, 3819
08e1, e5c2
08e2, 0ba2
08e3, c0c8
08e4, f91b
08e5, dba7
08e6, 674a
08e7, 6e31
08e8, 96c4
08e9, aef8
08ea, a716
08eb, 594c
08ec, b021
08ed, 9813
08ee, 45c7
08ef, 36ce
08f0, 3ee3
08f1, 5126
08f2, 02c6
08f3, abb3
08f4, fe8a
08f5, db7a
08f6, 6c10
08f7, 6149
08f8, 9c25
08f9, aee3
08fa, db8a
08fb, 9410
08fc, 62c5
08fd, 9449
08fe, fe7a
08ff, 3bb3
0900, 3448
0901, a2e4
0902, a392
0903, 9ee8
0904, 90d1
0905, 3d01
0906, 0b11
0907, 6957
0908, af3b
0909, 9008
090a, 9e41
090b, 05fc
090c, 678e
090d, ac48
090e, 34e1
090f, 3dd8
0910, fe22
0911, 7a53
0912, 015d
0913, 1819
0914, ad07
0915, 9ab3
0916, c40e
0917, a8f0
0918, 1043
0919, f6c9
091a, f477
091b, 1de9
091c, c6f9
091d, ced4
091e, e183
091f, a0d2
0920, 942c
0921, 7639
0922, 7936
0923, 81e9
0924, ab7c
0925, e725
0926, 2e01
0927, 7390
0928, ec34
0929, e279
092a, 3e7c
092b, 1b91
092c, ba99
092d, 74d1
092e, e849
092f, 0c22
0930, 6bb8
0931, 7e2d
0932, 902d
0933, 4338
0934, 226d
0935, 554d
0936, af63
0937, c14b
0938, 9968
0939, 4228
093a, 336d
093b, 1c53
093c, ca38
093d, 978b
093e, bb4d
093f, 6558
0940, dc12
0941, 612b
0942, 92cb
0943, 999f
0944, 3665
0945, 5417
0946, a659
0947, 059d
0948, fc22
0949, 560f
094a, 3995
094b, a956
094c, 6053
094d, a42c
094e, 0c17
094f, 3442
0950, 5e72
0951, cb89
0952, ce86
0953, 444f
0954, 0c27
0955, 4bb5
0956, 61ce
0957, c41a
0958, 9784
0959, 1c2f
095a, 5427
095b, 921e
095c, 2c1f
095d, 08b1
095e, 4ee5
095f, 6bb2
0960, a74b
0961, c40b
0962, 1d76
0963, f5f3
0964, ec63
0965, f39b
0966, 7a84
0967, a8f2
0968, 1026
0969, 1ba3
096a, 9f53
096b, 0152
096c, c614
096d, cedb
096e, a2eb
096f, f93b
0970, abb1
0971, 7360
0972, ea66
0973, e53e
0974, 0add
0975, e186
0976, 7321
0977, 0e46
0978, 1e64
0979, e0d8
097a, 93da
097b, ea44
097c, 0b49
097d, 1b5c
097e, 7280
097f, ae84
0980, 984e
0981, bc34
0982, 74f2
0983, 38e4
0984, 927e
0985, 92c4
0986, bc9e
0987, 2e5c
0988, 7e3b
0989, 37b1
098a, 51ee
098b, 7497
098c, 2b94
098d, 7b3e
098e, 5144
098f, 9728
0990, 6cc8
0991, c42a
0992, 1c2d
0993, 4998
0994, 666d
0995, 444d
0996, 056f
0997, c95b
0998, 9128
0999, 4668
099a, 590d
099b, 9053
099c, c65e
099d, 9247
099e, 2c1d
099f, 6448
09a0, 6b42
09a1, 087b
09a2, 960b
09a3, 339f
09a4, 42d5
09a5, 5597
09a6, aa35
09a7, c49d
09a8, 90d2
09a9, 420f
09aa, 3335
09ab, c136
09ac, ad93
09ad, 0e22
09ae, 6be7
09af, 5532
09b0, 0287
09b1, 2e62
09b2, 1b02
09b3, 5f33
09b4, 90d5
09b5, f8e2
09b6, 764e
09b7, 7312
09b8, ec6b
09b9, 9da3
09ba, 9539
09bb, 794b
09bc, ba44
09bd, 7467
09be, d782
09bf, 918b
09c0, acb8
09c1, c9d6
09c2, f7d6
09c3, ef54
09c4, c7dd
09c5, f946
09c6, c924
09c7, 0f82
09c8, 1fb5
09c9, ecb4
09ca, f9dd
09cb, f734
09cc, 0c83
09cd, 1c5b
09ce, c746
09cf, af58
09d0, 9184
09d1, cbf4
09d2, c51d
09d3, 318e
09d4, f6ae
09d5, f6a4
09d6, cbfe
09d7, 2f80
09d8, 7f8d
09d9, 3a6e
09da, f81e
09db, c510
09dc, 2c5e
09dd, 7c54
09de, f814
09df, 9a64
09e0, 34b2
09e1, cc45
09e2, af46
09e3, ee4f
09e4, 0067
09e5, 3d25
09e6, 087e
09e7, 051a
09e8, fa54
09e9, 902f
09ea, 9eb7
09eb, 969e
09ec, 7b1f
09ed, a1b4
09ee, 4445
09ef, dd62
09f0, 3ee8
09f1, 6784
09f2, 08e2
09f3, 9448
09f4, fc21
09f5, 5b71
09f6, dc11
09f7, 6147
09f8, ae8b
09f9, 9cc8
09fa, 3441
09fb, a41c
09fc, 6218
09fd, ab8e
09fe, 9ee1
09ff, 3bb8
0a00, 3fe3
0a01, dfb3
0a02, 5083
0a03, 95b6
0a04, 5d29
0a05, 007a
0a06, 60e9
0a07, 5d15
0a08, 058a
0a09, 0d26
0a0a, 5589
0a0b, 6f10
0a0c, 6575
0a0d, ad8f
0a0e, ff7a
0a0f, 5073
0a10, 5f83
0a11, bfb3
0a12, 8045
0a13, 35ab
0a14, 5d75
0a15, 60db
0a16, dbf5
0a17, 8de5
0a18, 6e36
0a19, 6d0b
0a1a, 3515
0a1b, 6496
0a1c, 25c5
0a1d, 6c53
0a1e, 5f62
0a1f, 5025
0a20, 96c5
0a21, e615
0a22, 8c54
0a23, 6a67
0a24, 4bc5
0a25, 6cb2
0a26, 6150
0a27, 4bf8
0a28, bf5d
0a29, dbcb
0a2a, 5ab9
0a2b, 25f6
0a2c, 8a89
0a2d, 08f6
0a2e, 06ab
0a2f, 8cb3
0a30, 001a
0a31, 5032
0a32, 3fd4
0a33, 11a0
0a34, 177e
0a35, aff1
0a36, 2c48
0a37, 4755
0a38, 3a2d
0a39, c700
0a3a, 111e
0a3b, 2e8b
0a3c, 21d5
0a3d, 692d
0a3e, 00a1
0a3f, ff1a
0a40, 5346
0a41, 93c5
0a42, 8eb5
0a43, bb7c
0a44, 4a04
0a45, 7ee9
0a46, 7e82
0a47, 4a54
0a48, ebb0
0a49, ca0c
0a4a, 8bb4
0a4b, c35c
0a4c, ebe4
0a4d, 9a26
0a4e, 6319
0a4f, 8ee6
0a50, 3679
0a51, f698
0a52, 3c48
0a53, aaa2
0a54, eb23
0a55, acc7
0a56, df4a
0a57, 5b14
0a58, 2146
0a59, 0b22
0a5a, fac3
0a5b, b81d
0a5c, 3a31
0a5d, a5e6
0a5e, d607
0a5f, 1cc9
0a60, ad80
0a61, 3c56
0a62, 3e63
0a63, 4e22
0a64, e221
0a65, d983
0a66, a641
0a67, 5a44
0a68, fb6a
0a69, bc22
0a6a, 1841
0a6b, 034c
0a6c, d924
0a6d, a460
0a6e, dab5
0a6f, f58a
0a70, 93e6
0a71, e375
0a72, 4ed8
0a73, 7ba6
0a74, 8a64
0a75, de48
0a76, 051b
0a77, 8a84
0a78, 40d6
0a79, 6a6d
0a7a, ebc8
0a7b, 618d
0a7c, 9bf8
0a7d, 9206
0a7e, 0398
0a7f, 4e46
0a80, 9a23
0a81, 92f3
0a82, 4033
0a83, d0ba
0a84, 4c79
0a85, 272d
0a86, a89a
0a87, 4d95
0a88, c53a
0a89, 2276
0a8a, f67f
0a8b, 2f90
0a8c, 375f
0a8d, 013d
0a8e, 0dcd
0a8f, 1b2f
0a90, 331a
0a91, f3a4
0a92, 5e24
0a93, 2b00
0a94, 1aae
0a95, 0e11
0a96, c8eb
0a97, 3a35
0a98, 872d
0a99, aaa0
0a9a, 4b7e
0a9b, 2f3b
0a9c, 1b95
0a9d, fdcd
0a9e, d3f1
0a9f, ee1a
0aa0, 60e6
0aa1, 5086
0aa2, 5f25
0aa3, 117c
0aa4, 8774
0aa5, 0f19
0aa6, c281
0aa7, 8784
0aa8, 9d20
0aa9, 777c
0aaa, 41e4
0aab, 788c
0aac, 21b4
0aad, 05b0
0aae, 0079
0aaf, 5f16
0ab0, f98d
0ab1, f803
0ab2, 4f65
0ab3, 72c2
0ab4, 16d1
0ab5, 2185
0ab6, 0f42
0ab7, 3743
0ab8, 1d60
0ab9, 20d2
0aba, ec24
0abb, a84a
0abc, 9d14
0abd, f76d
0abe, a5e3
0abf, 1480
0ac0, d046
0ac1, 4046
0ac2, 8fb5
0ac3, 816d
0ac4, 8728
0ac5, 6f58
0ac6, 6a84
0ac7, 5738
0ac8, 5c66
0ac9, b7d6
0aca, 8184
0acb, 694b
0acc, 6164
0acd, ded6
0ace, d0d8
0acf, 5f86
0ad0, f54f
0ad1, ded3
0ad2, 5c33
0ad3, 3376
0ad4, 307f
0ad5, 6a2d
0ad6, dc99
0ad7, 3b93
0ad8, 043a
0ad9, d67d
0ada, 3fe9
0adb, de9a
0adc, d405
0add, ab3f
0ade, 392d
0adf, 9d2f
0ae0, ff19
0ae1, dfd8
0ae2, 3058
0ae3, 95d2
0ae4, fd23
0ae5, a007
0ae6, 6613
0ae7, 3df4
0ae8, d986
0ae9, add2
0aea, 9543
0aeb, d31d
0aec, 65a4
0aed, da45
0aee, ffa7
0aef, f079
0af0, 56b3
0af1, 96e3
0af2, 4c83
0af3, 0ac6
0af4, 8bb9
0af5, cc7a
0af6, 0310
0af7, 8be5
0af8, c48a
0af9, 7bb6
0afa, 9a29
0afb, bee0
0afc, 5a49
0afd, 098d
0afe, 667a
0aff, 4c73
0b00, 4533
0b01, 130d
0b02, a20d
0b03, 1f06
0b04, fc69
0b05, dbaa
0b06, e599
0b07, 6760
0b08, fc63
0b09, ac06
0b0a, 1f59
0b0b, 9b09
0b0c, 8960
0b0d, 1f53
0b0e, 45aa
0b0f, 3bd3
0b10, 2df9
0b11, 547c
0b12, 6d0c
0b13, 7ea4
0b14, 0efd
0b15, 4d19
0b16, 1e15
0b17, a0ab
0b18, 5d7f
0b19, e013
0b1a, 70f3
0b1b, f0c5
0b1c, fecb
0b1d, 84ef
0b1e, 24ae
0b1f, d4f0
0b20, c099
0b21, 9ec7
0b22, 6bc7
0b23, c4d4
0b24, cffd
0b25, 4b9e
0b26, e485
0b27, 0c7b
0b28, 8bc9
0b29, 1cf4
0b2a, cd33
0b2b, ec75
0b2c, 94bb
0b2d, ee19
0b2e, ce0e
0b2f, 2590
0b30, 26f0
0b31, 7ba4
0b32, 7513
0b33, 837c
0b34, 5d71
0b35, 2519
0b36, f415
0b37, a2ab
0b38, 98fd
0b39, 620c
0b3a, 54ef
0b3b, fdc8
0b3c, 13cb
0b3d, 76fd
0b3e, 2bae
0b3f, 38f0
0b40, 209d
0b41, bad5
0b42, 73f5
0b43, 91ca
0b44, 5223
0b45, 259f
0b46, 988f
0b47, 0b7d
0b48, ef36
0b49, 62ca
0b4a, 5113
0b4b, 97b3
0b4c, 5ebd
0b4d, 7d30
0b4e, c00f
0b4f, 455d
0b50, e9f9
0b51, 4e6b
0b52, cb0b
0b53, e46b
0b54, ea05
0b55, bba7
0b56, 43f3
0b57, 2cdc
0b58, 1605
0b59, 7c0b
0b5a, e355
0b5b, 4adf
0b5c, 44a2
0b5d, 4955
0b5e, eea7
0b5f, 86a9
0b60, b566
0b61, 2279
0b62, d3e9
0b63, d47f
0b64, d382
0b65, 5809
0b66, 4534
0b67, 2bcc
0b68, 3386
0b69, 3de1
0b6a, d283
0b6b, 4b24
0b6c, 45ac
0b6d, 2286
0b6e, 8690
0b6f, 5b66
0b70, cfaa
0b71, 0c7e
0b72, 64ee
0b73, c97e
0b74, d8e0
0b75, 44a1
0b76, e9fe
0b77, 66a0
0b78, 84e0
0b79, 46ee
0b7a, a7e9
0b7b, 86ae
0b7c, 99a0
0b7d, 7ce0
0b7e, 1cfc
0b7f, 4daa
0b80, b093
0b81, e1ca
0b82, b2ca
0b83, 73d5
0b84, 7f30
0b85, 869f
0b86, 488f
0b87, c77d
0b88, 8223
0b89, eaf5
0b8a, bd39
0b8b, 17bf
0b8c, 18bd
0b8d, 8113
0b8e, 790f
0b8f, b55d
0b90, 7a90
0b91, 2cd4
0b92, c4f4
0b93, e9c7
0b94, 5bc9
0b95, b49e
0b96, 3e85
0b97, c67b
0b98, 13fd
0b99, b6c7
0b9a, 9e19
0b9b, fb75
0b9c, 49bb
0b9d, 2a3d
0b9e, 7c0e
0b9f, 8390
0ba0, 2d56
0ba1, 7605
0ba2, 0895
0ba3, 38ca
0ba4, 3624
0ba5, d499
0ba6, f183
0ba7, ad72
0ba8, 9e56
0ba9, d6cc
0baa, 3843
0bab, fab4
0bac, f47d
0bad, 7056
0bae, 2d09
0baf, 3456
0bb0, bfa6
0bb1, c77f
0bb2, 28ef
0bb3, 0e7f
0bb4, 688d
0bb5, 83a9
0bb6, 8ff4
0bb7, bdac
0bb8, 488d
0bb9, 5bef
0bba, 67e3
0bbb, 8dd4
0bbc, efac
0bbd, 27ed
0bbe, eaf0
0bbf, 8dd6
0bc0, b5aa
0bc1, dbce
0bc2, d5fe
0bc3, 23ce
0bc4, d317
0bc5, 85cf
0bc6, 8391
0bc7, b20a
0bc8, 3510
0bc9, 32fe
0bca, d219
0bcb, 8271
0bcc, 530a
0bcd, 2b10
0bce, 8bfc
0bcf, 5baa
0bd0, 2d53
0bd1, 48ca
0bd2, d6ca
0bd3, 7905
0bd4, 0e50
0bd5, 329f
0bd6, 1189
0bd7, aa76
0bd8, 3623
0bd9, 9795
0bda, 7059
0bdb, fab9
0bdc, 1176
0bdd, 4843
0bde, 230f
0bdf, d45d
0be0, 839f
0be1, 14ab
0be2, cdc6
0be3, 1eab
0be4, f7a5
0be5, bd7a
0be6, 893f
0be7, b02a
0be8, f2a5
0be9, c0c6
0bea, 19f5
0beb, 57df
0bec, 8edc
0bed, 13f5
0bee, 840c
0bef, 520f
0bf0, 8ff3
0bf1, 896d
0bf2, 760d
0bf3, 156d
0bf4, 106f
0bf5, bdaa
0bf6, 8ff9
0bf7, bad0
0bf8, e063
0bf9, c00d
0bfa, 455f
0bfb, eda9
0bfc, 83a6
0bfd, e55f
0bfe, efaa
0bff, 8dd3
0c00, 8fe3
0c01, 4f83
0c02, 80b3
0c03, 1385
0c04, 8db9
0c05, eacf
0c06, 891f
0c07, 8dc5
0c08, 16b9
0c09, 16b3
0c0a, 4549
0c0b, 4acf
0c0c, 85e5
0c0d, 1349
0c0e, 191f
0c0f, 80c5
0c10, 2f73
0c11, 5fe3
0c12, 50c5
0c13, 6b3f
0c14, 8d49
0c15, de96
0c16, 3367
0c17, 5db9
0c18, 6aa2
0c19, d43a
0c1a, b5b9
0c1b, d66c
0c1c, 3549
0c1d, 39a2
0c1e, dcf5
0c1f, 80e3
0c20, 8683
0c21, 5625
0c22, 8c73
0c23, a13a
0c24, 8b5e
0c25, 2ff6
0c26, a06c
0c27, 4b29
0c28, d7c2
0c29, b53a
0c2a, ea49
0c2b, d2b7
0c2c, 9ab9
0c2d, 6dd2
0c2e, d856
0c2f, 4c94
0c30, 2a75
0c31, 0b3a
0c32, f43a
0c33, 5fe4
0c34, 6ca2
0c35, 5196
0c36, f46c
0c37, f6be
0c38, 7349
0c39, 50c8
0c3a, 3ea2
0c3b, 0b6c
0c3c, f34e
0c3d, 76b9
0c3e, d7f6
0c3f, 29e3
0c40, 8386
0c41, e316
0c42, 8e5b
0c43, 52a1
0c44, 8a74
0c45, 1197
0c46, f768
0c47, 4ab4
0c48, e83c
0c49, 10c1
0c4a, 5bd8
0c4b, 1d2e
0c4c, 9b04
0c4d, 1f4d
0c4e, 45ea
0c4f, 4efb
0c50, bd2d
0c51, f765
0c52, 1dd9
0c53, 9c69
0c54, 2267
0c55, 8a03
0c56, 7dc0
0c57, 80af
0c58, c26c
0c59, 46d9
0c5a, c0ba
0c5b, b707
0c5c, f2af
0c5d, 70bd
0c5e, 5bd5
0c5f, 27a2
0c60, b9cd
0c61, aa97
0c62, f99c
0c63, ac91
0c64, de9b
0c65, eac0
0c66, 8193
0c67, ecaf
0c68, 5f9b
0c69, 0e9c
0c6a, dcf8
0c6b, 87a5
0c6c, 1eff
0c6d, d0fb
0c6e, 7970
0c6f, 4acd
0c70, 8325
0c71, 5386
0c72, 4e16
0c73, d58b
0c74, 4ae4
0c75, 80ad
0c76, b2dd
0c77, 8a04
0c78, d1e8
0c79, d116
0c7a, 5b54
0c7b, d0ad
0c7c, 8b28
0c7d, d554
0c7e, 32dd
0c7f, 8e08
0c80, 2586
0c81, 5da1
0c82, f7c1
0c83, 7f16
0c84, b83c
0c85, c19c
0c86, 9a6e
0c87, f2b8
0c88, 5c74
0c89, 785b
0c8a, cf4a
0c8b, 3b2e
0c8c, f004
0c8d, 56d8
0c8e, b5ea
0c8f, 21fb
0c90, 2583
0c91, f13d
0c92, e53a
0c93, 5628
0c94, 20c2
0c95, 49f6
0c96, 0762
0c97, f229
0c98, 785e
0c99, 5c73
0c9a, 62d2
0c9b, cdbc
0c9c, f0b8
0c9d, 7f45
0c9e, 5456
0c9f, 2198
0ca0, 2016
0ca1, b086
0ca2, 8f46
0ca3, fef1
0ca4, 57a8
0ca5, 19ea
0ca6, f43e
0ca7, 5764
0ca8, 134a
0ca9, 9ca1
0caa, 5194
0cab, fb6e
0cac, 3154
0cad, 764a
0cae, cae0
0caf, 8fe6
0cb0, 4d2d
0cb1, 359c
0cb2, f1e7
0cb3, 689c
0cb4, 2f1b
0cb5, e707
0cb6, 8bd5
0cb7, f0af
0cb8, 3e1b
0cb9, cfec
0cba, d85b
0cbb, 5a03
0cbc, 82af
0cbd, 535b
0cbe, 8dc0
0cbf, 87a2
0cc0, 80e6
0cc1, d016
0cc2, 5fe6
0cc3, da18
0cc4, 5794
0cc5, 3cad
0cc6, 4ead
0cc7, 87c8
0cc8, d994
0cc9, d9eb
0cca, d104
0ccb, bcad
0ccc, 81e4
0ccd, da08
0cce, 6ead
0ccf, 8fc5
0cd0, 2a15
0cd1, f9f1
0cd2, 9aa1
0cd3, 7685
0cd4, 234a
0cd5, 79ea
0cd6, 353e
0cd7, f664
0cd8, 50a8
0cd9, 7346
0cda, b64f
0cdb, 5d6e
0cdc, f358
0cdd, 5f94
0cde, caef
0cdf, 29e6
0ce0, 49cd
0ce1, f439
0ce2, fb69
0ce3, 3839
0ce4, 26ba
0ce5, 57a5
0ce6, 8970
0ce7, 3caf
0ce8, 76ba
0ce9, 5269
0cea, 43b0
0ceb, bac0
0cec, 5eff
0ced, 13ba
0cee, 5193
0cef, bacd
0cf0, 8625
0cf1, e673
0cf2, 4c64
0cf3, 1073
0cf4, 4bde
0cf5, 17a1
0cf6, 1dcf
0cf7, 8b08
0cf8, 12de
0cf9, 1268
0cfa, eab9
0cfb, 87a1
0cfc, 8a29
0cfd, 10b5
0cfe, 8dcf
0cff, 8c04
0d00, 3fe8
0d01, 59bb
0d02, 6a2b
0d03, adb8
0d04, 358c
0d05, a07c
0d06, 60e7
0d07, 6318
0d08, 9d2e
0d09, a584
0d0a, dd87
0d0b, 5f17
0d0c, 6678
0d0d, 958e
0d0e, ff77
0d0f, 3074
0d10, 0011
0d11, 1ea0
0d12, 7c00
0d13, 9b32
0d14, fd22
0d15, fcf1
0d16, cb4b
0d17, 7455
0d18, ec7e
0d19, f4d4
0d1a, 0522
0d1b, e48b
0d1c, cbd5
0d1d, 1e1e
0d1e, 0ea1
0d1f, af1c
0d20, d31c
0d21, b200
0d22, a0a0
0d23, f1a4
0d24, 9b2d
0d25, e011
0d26, e1eb
0d27, a535
0d28, 10ae
0d29, e524
0d2a, fac2
0d2b, 153b
0d2c, 7195
0d2d, 827e
0d2e, 32f1
0d2f, 0e1a
0d30, 9384
0d31, 34ab
0d32, db0b
0d33, 7db3
0d34, 9836
0d35, 0bdb
0d36, d2f6
0d37, 25e5
0d38, 3678
0d39, 7545
0d3a, 025d
0d3b, 3896
0d3c, 2dc5
0d3d, 3318
0d3e, 9462
0d3f, 9628
0d40, 9a21
0d41, 60bc
0d42, d27d
0d43, 01f3
0d44, 453a
0d45, ab2d
0d46, 989a
0d47, 2393
0d48, 3c7f
0d49, c533
0d4a, 913a
0d4b, 4f9a
0d4c, 6e5f
0d4d, 9671
0d4e, 0ac2
0d4f, 3b2f
0d50, 5d7e
0d51, a2a2
0d52, b022
0d53, 0198
0d54, f846
0d55, c0c7
0d56, 3f4c
0d57, b514
0d58, 5723
0d59, c548
0d5a, 9feb
